Gene;Genomic coordinates of duplicated region;Transcript;Affected exons;Severely affected exons
;;;(>90% homology);(>98% homology)
ABCC6;chr16:16295857-16318046;NM_001171.5;1-9;1-9
ABCD1;chrX:153006027-153009189;NM_000033.3;7-10;
ACTB;chr7:5567378-5569288;NM_001101.4;2-6;
ACTG1;chr17:79477715-79479380;NM_001614.3;2-6;
ACTN4;chr19:39219635-39220072;NM_004924.5;20-21;
ADAMTSL2;chr9:136419478-136419815;NM_014694.3;10-19;10-19
ADIPOR1;chr1:202910700-202911346;NM_015999.5;7-8;
AFG3L2;chr18:12344130-12344246;NM_006796.2;14;
AGK;chr7:141352586-141352724;NM_018238.3;16;
ALG1;chr16:5127907-5134882;NM_019109.4;6-12;
ALMS1;chr2:73826527-73830431;NM_015120.4;17-21;
ANKRD11;chr16:89334885-89335071;NM_013275.5;13;13
ANOS1;chrX:8501035-8507799;NM_000216.3;10-14;
AP4S1;chr14:31562112-31562241;NM_001254729.1;6;
ARMC4;chr10:28250496-28284109;NM_018076.4;2-10;
ARSE;chrX:2852872-2856298;NM_000047.2;9-11;
ASNS;chr7:97481570-97498468;NM_133436.3;3-13;
ATAD3A;chr1:1447648-1469452;NM_001170535.2;1-16;
B3GAT3;chr11:62383172-62384819;NM_012200.3;3-5;
BCAP31;chrX:152966391-152969549;NM_005745.7;5-8;
BDP1;chr5:70860608-70860712;NM_018429.2;39;
BMPR1A;chr10:88683132-88683476;NM_004329.2;12-13;12-13
BRAF;chr7:140433811-140434570;NM_004333.4;18;
BRCA1;chr17:41276033-41276113;NM_007294.3;2;
C2;chr6:31867702-31869082;NM_001178063.1;1;
CACNA1C;chr12:2791115-2795435;NM_001167625.1;43-45;
CALM1;chr14:90870212-90871061;NM_006888.4;4-6;
CD46;chr1:207930358-207934791;NM_002389.4;2-5;
CEP290;chr12:88442959-88443191;NM_025114.3;54;
CFH;chr1:196658549-196659369;NM_000186.3;8-9;
CFH;chr1:196682864-196683047;NM_000186.3;10;
CFH;chr1:196712581-196716443;NM_000186.3;20-22;
CHEK2;chr22:29083884-29091861;NM_007194.3;11-15;
CISD2;chr4:103808497-103808587;NM_001008388.4;3;
CLCNKA;chr1:16349114-16360153;NM_004070.3;2-20;
CLCNKB;chr1:16370987-16383411;NM_000085.4;2-20;
CORO1A;chr16:30199853-30199897;NM_007074.3;10-11;10-11
COX10;chr17:14082520-14095538;NM_001303.3;6;6
CP;chr3:148891500-148891517;NM_000096.3;19;
CRYBB2;chr22:25623819-25627739;NM_000496.2;4-6;
CSF2RA;chrX:1401596-1428482;NM_006140.4;3-13;3-13
CUBN;chr10:16866973-16883046;NM_001081.3;61-67;
CUBN;chr10:16948201-16970302;NM_001081.3;41-50;
CYCS;chr7:25163319-25163738;NM_018947.5;2-3;
CYP11B1;chr8:143955788-143961229;NM_000497.3;1-9;
CYP21A2;chr6:32006199-32009227;NM_000500.7;1-10;1-10
DCLRE1C;chr10:14974852-14981868;NM_001033855.2;4-9;
DHFR;chr5:79924905-79924984;NM_000791.3;6;6
DICER1;chr14:95556834-95557000;NM_177438.2;27;
DIS3L2;chr2:233194522-233201908;NM_152383.4;15-21;
DNAH11;chr7:21923908-21924028;NM_001277115.1;76;
DNAH11;chr7:21940624-21940872;NM_001277115.1;82;
DNM1;chr9:131015379-131016993;NM_004408.3;21;
DSE;chr6:116756749-116758508;NM_013352.3;6;
DUOX2;chr15:45402847-45404153;NM_014080.4;5-8;
EGLN1;chr1:231502156-231502221;NM_022051.2;5;
ELK1;chrX:47496227-47498737;NM_005229.4;3-6;
ELMO2;chr20:45008891-45023121;NM_133171.4;3-11;
ERCC6;chr10:50723243-50725167;NM_001277059.1;6;
